id,Last
41529,-14
126949,102
223457,144114913197948928
178532,15435845
68296,9542724816
121313,49439
31413,164701629617615712
45356,174198851866824320
6826,-460
67212,-685
104106,24
104667,-17
174022,57046
214698,1
63301,15717185450
137111,8756541
53154,108000
151440,48631
45865,-804
61564,7
152990,78
160339,9725506567
88611,2
61800,9
124989,-570834
190303,245316
226662,431057151
139321,0
165692,-310
12073,41740
171492,54
202396,3837156481408160
178119,200500000000001984
35573,0
191547,313
197144,9876954412
117144,2510
72118,786774178
210257,39
222152,110
73672,2719
123835,383990966761942016
213547,4638197280501669888
71363,624947050840064
144359,-20754
99728,81
114520,684322432
176155,40347
137190,-14871
132683,4
97010,13
97150,13118921621252874
67657,997489735400481018946109994696704
144551,-147
81672,29314386243104
157908,6
97117,46008
45721,3547
164783,2927359144203
137754,263273726681172
210809,38923141119
107884,777393
191473,4354
62757,0
150067,5251687775941680
72850,5551063843412
93894,8
15991,0
125216,1047552
184750,113
157832,819328
47958,35134973328
192287,216057031383306
146929,191
141016,6192
124040,-8
75685,967363153
86595,30940
16343,0
214350,9999999999999993856
181690,1019758695175776512
167496,33
112835,2147483648
132070,7497
123207,-12
138755,3534
215541,2181
79157,-30563
153204,4498006683955736
133733,52331319
87201,-54
164737,1832624111727026176
214225,-1032623
23623,66417002305
166220,7001175484
156658,-26
171071,64
104045,29474481504257
118516,12115201291061288
58769,-13
140221,12870592488545808
17178,-7
143856,531
177895,1343613252
69163,930249
42150,1720179
86539,438832900836632
80458,51523614927176851456
211995,87818251738885536
168515,21
32210,703530
102135,-7
64901,7962624
102032,10
135750,-24
160501,97121025
50154,128
182825,6
136848,-85539
179508,3712626
73858,194041445447501568
195520,-1679417991675
21726,-55523427367390512
101210,34274660
145512,1105625187502047
136445,-1065827683
190541,108
155794,647
93194,60
69997,1204772191519
55751,2869
79243,104
82698,27584020672768
76283,70
52540,8645
59561,18
182595,22
41484,-28187176636532736
112973,17592177655768
116637,269
79692,-7657128
50020,7006302246093750272
156359,333333333333333312
213040,-25097926711682
134271,-1
153266,5116
204742,979
126265,84
31448,1180
148190,463
190411,870
66039,3272939519
24561,90
164253,4726469865876109312
35492,1000000000000000640
90840,2769
34475,41
100816,1715
176103,167
87988,-7938
9258,-157
96226,254123
86373,19959124861191225344
158688,1031
35217,6751210216055775232
164742,3
19376,114
127525,171122571641558016
204578,315652252130182
24340,21
137204,23089744183296
55989,62
190136,39653406805737728
33305,11258999068426240
210201,729
143458,-648
106745,3255751476
128105,57963800435236672
219877,1696171984535181
195913,699051
109407,31784
153666,261
60489,555
105121,11
103089,0
221583,455
223927,81
169927,10
4212,455697149144
99626,-8
69641,2147483604
188704,17275405005102232
116149,1173
124135,46209227734
15049,184906720885400
194121,64
212788,113019
182845,1109329977878
82325,1353750806
132746,2380
177406,21171754882888
159812,610534
140075,2468
125326,4361
146115,5327
105621,100
43381,153
184198,-111
204823,106
224838,3
184686,-4041
1875,404368409290150051840
218864,-7
181522,23416728348467592
103844,0
88390,2
109108,2555868439
176206,630847
8327,3610871
185174,3717
215496,53
26550,14779950
8478,2560355822484
186474,10000000000
26019,4349
35706,1343
121867,124
22763,-108
14825,130016550
135719,49
181715,-4
227105,6291456
213315,6593158180426641408
217842,265881212776171072
124721,7
197782,-1570481613
179391,19
204534,14444444444444436480
211275,11417968671701400
197320,143102627075275712
191285,214
70806,28693802772138448
152235,4
219630,35
96180,180433614102523008
207641,13449212798
188429,5
130486,1784
36486,-2338
17007,9
174248,-1
225659,51523614927174598656
164207,290246567
163338,4
166074,22003
215084,4134
188035,397
119359,2106739826619476
209577,29
57274,2336976
23260,112792
162788,2678367
196281,1788651202
224351,219598658
133960,57574082592283
137543,136295310602914704
45713,2598
162537,23247020829419340
46502,4693241
100852,3462883493651
54122,-18879
207934,2698
121420,1431655773
202178,118378288393285120
19240,18699
40577,1
39578,11
63875,-1987403211701872
54197,154170784
21866,-1651296146991195124400128
5611,234608707599131
132717,105700530434210976
117289,15613244364626352
38363,4
22021,129759
225105,12220602003569090560
197608,-537
195587,7369496
99490,1081548910
91205,-339926344614919
180304,3997226
113264,3587
67603,1067
127085,-15225
59557,-291
216004,7338
203361,1858838109615744000
170153,-105
150652,11920928946689518
182763,83
178560,616
129108,247
41111,21502691016006705152
194463,581
175441,36137582952
172144,283
102618,-125171336078613916155904
104881,845
123759,48
123351,109
90922,29348403631276
112536,81
213954,166
126893,715751
131779,7770569336
116957,25109
42281,1093354
140490,-6
134157,1705
39050,0
56500,1400438814
173832,694680962333
82966,9192822255
76715,45878
44761,22081006
214755,843
193028,10692860161610
197716,1345
140120,27
90015,1136
225433,20154309250
197056,1
48541,59
3656,10779553536580
97180,737
190806,1
44267,2452
152697,50086
167352,4986
201820,5551
157346,4191
14948,563895515680550
134028,1805
101176,-1281168020
17257,1123
198627,104308448572
3683,1179163
222344,60994
96040,48767647
3171,33154114877525
48578,24
187817,3
81386,-13
164245,-5
106874,-7625060614073
227687,25558
86142,79971658229
92225,1401081
55108,-44
114079,574204
197758,-23689464585493176320
200572,10
180907,532294107443243
47129,4364207114
35630,521
112223,-1749070452
5868,8484
152024,5
109668,825814987724773888
33974,94
37572,2
183512,110
156014,2133444
145432,126783611230
139562,292951012163242131456
47044,616
58370,517444116354982400
74491,1
192414,1
125895,1
53928,-64
20664,7488355374769
116546,5944066965504
171888,6
66530,11
177011,-53
54057,133
180819,8554240008482607
53962,63251524091903
102553,-1606
110390,8
56228,156162905024163328
200663,123
57441,63825
151919,76
59757,23932377239615760
14254,-97
24085,8175932172
64603,129342
22024,0
202184,67
157831,259717522848
207623,95
175957,82
35408,467856
48936,98966
4502,124155
106347,479
117940,36447942663979536
162706,15261588809838528
1314,-2324
204688,12121504379063440
41345,47
2315,68415
165716,199
126353,278953912304483040
189065,1540
30240,25246249
187988,32
20120,8769193
77865,-126922432
185696,2900345
39695,22868872264
44583,9339885013
141883,37242144441635848192
151610,314
27876,6
124798,-1644167168
220583,5528
219628,-57337315382512352
111313,121
168024,193
191135,14
212404,18750
79122,1844
198631,1265
54822,-8481464424025328451584
171379,6845784
168916,961
6845,195986191125621056
189042,2410459729834508
168689,74
218307,17
212793,-1
146619,1
44907,3
216825,892
14444,-110
88157,-4
1975,615691547
25971,191185170
89941,3149
57771,4499558797473
170183,11538801
35298,1677
35947,1002703671919845
160953,-95123
175199,52
219817,6414549734224
190097,-72093413585
6730,-1
60686,83399991856693
103276,3562
185380,-190945
190956,1878
177553,1907348632812499
147766,195312499
153171,160793062148
2473,20
195114,6
188976,9533120
133605,524288
149594,6814388
171869,0
45831,15955
182470,-15508607405
101337,520
212965,16
56391,3579139411
199869,16
224880,0
216190,6
213736,70607380295
84599,-335
80853,1579
38378,14
72622,1521
46904,78176338
202648,45664871558675
5135,0
57626,1
109731,588
55787,47
144074,1129718145924
43518,-16
161932,-14005073
79234,95
126696,6
98401,-895
222973,627
189092,124
189967,412
49186,1454
137329,3566032
216090,8
71058,5
63667,55
119521,34260630167143
41794,2786
151320,99321348828330144
217005,19615134580736
64912,1148140
186678,-12129297
155501,105
47975,8
105012,273
1687,676
213318,3138
142943,14214
68167,-1216
135100,9651449
153510,788
1539,2217
15483,1
182609,152
227412,2
193803,1923201
86386,24
139324,4
97301,63851
1810,-155625385
28960,1421
141058,26612
204779,6
57622,1672972
109903,14163077091500
40417,-14
71980,412
127669,-30615898251
92235,-68229859819
118515,47
188781,1205
151767,-2896985854
29685,3561
121668,52
180188,913
157323,856
116801,49
123527,-421
81718,256123
143972,264
21564,96886221690222016
183503,1240
218823,66886041600
105803,28441
114265,17
224967,-520665
115804,25501384704
156944,5
163575,9
141675,-113046786
4201,486388759756019968
85247,-1459934598827879424
119702,35
37731,8560440
205399,-1
9691,163
1277,29674502660385
200207,94
48160,406941
18020,22194
200118,-1
76440,6272
26003,4741795442
189331,64521
83843,1144
221304,247527965734532841472
95253,-3952
62650,62146
61940,33791929975443
194110,1386932706453
107074,4317856790
97492,509
164190,4
33517,1190
213416,87184038671
189338,-41754912397
122939,196446505111
176017,182
163720,143101889288839872512
4156,-276310
81427,12116535
27870,4484
119255,-1903796
54787,3626
188844,84677
106856,925
147703,158
67008,2147483648
167933,1860867
4596,2471
50348,32783
131774,6006800936384096
188340,197
75017,38
2725,582498755
160582,-13
202626,6480018948096
97164,278434290968887520
137479,12
99114,-470
55157,75
63606,1780
88932,20123241888800
204013,0
48245,253989877628319296
220511,4616
192766,4678
185821,15271982
192038,235506627332576768
189274,5841245221988
211287,46784885177654664
107541,-35483479387
42924,761335022343
104878,70
156656,-489082
132342,50625976562500
193950,40
119016,13805017715951
113585,0
178311,440748043
29434,1757585169098498560
132209,1440
217355,-1369041673374
95482,213874268556080832
166179,2
66433,139
151922,1803868197
10173,381289654243656
28617,387341757
47455,1250273
175836,161279
45002,-3648
86127,184540730119088320
218143,-64686358647381024
151981,29802576554627728146432
40378,12727199593814
192212,23500895397639
68583,-49
143738,965
110034,171
80072,621656782989904768
80600,3894
91092,2861035455850500096
148511,8063975100
108281,24
49012,53609264
60401,-260910767
193863,43
207979,83566091
213472,126225
214866,109363321
87551,20756268776187
23472,25082
93161,29
133110,312
28127,1
141644,18964
150894,422497992
157820,2362390287113
115568,1
130576,9
133111,489
49305,21
207543,25
36374,28962
140974,65503535
129898,10000000000000000
70303,85
115525,-7
145636,4191335228259837952
20452,4
37513,2
102079,926500430754251
120983,-138
140000,690337720
225508,2472973441
120505,371719
45605,25150
109447,978364780082
30883,1652
190838,143101889288839872512
95906,1048576
162709,137361
80037,987
39169,1559950847029734912
82052,874
67432,17588110409509
46178,583
136007,90
129952,195312511
84157,6841089945545
18806,18
31180,345
120666,73
132024,377
10522,473
200650,117
34609,14762
15025,-21
222350,234
89585,4522957553
45529,2512
46073,-12
109206,1403
213361,19
129802,41
1386,486
163581,-66349305331
48148,2685043
153175,1
51894,45622667
7561,102
222683,1605914819
84754,20
145903,14412774441562
98029,-1671934061
57192,541992588123
184047,1229563
141213,24316380669
225296,-26660488
79771,2
127053,17644302068
69285,51
189219,571
210915,-193
56461,437169
206366,7431886
113885,543
146305,680039557812
88147,4454829568
94437,56805321374704864
20789,12859
2663,3344625
179304,11581
225701,7073
82541,14191
150449,341
51662,2452159322
83,6
106526,3430
135622,27671036166
72057,160344666567
77787,7
181070,163202000560732288
174827,-1247
52557,8
221225,855
188130,111
138103,0
225205,181611106939889
158183,1701
215723,67155509
115621,10450
18960,98344873
156180,16746165783385411158016
137677,0
159947,2258
24614,-6
222244,367
58482,26
128182,50029
18106,262951432835
137597,43
100676,14
142206,57
99412,79184
77016,716602502197272576
92414,894
165778,3432226859754
75764,-2502
182317,598896803096576
23794,451605
4252,0
87519,165
86557,309
188620,-254
93162,212578682430706
68920,-1
77190,27
155850,45
158317,93360688406586277888
118704,1463
14349,-1048576
172069,382
34218,-2
219123,5272434026006
187077,28835
11363,1270932914161
16377,9
191812,84
4604,99366
89154,172287363701211136
161492,2733
188349,552492675
207817,6136899
46798,515
14175,1000000000000000384
53274,3371438269682186
195710,4025
176478,42
7591,24853
151654,376181
54801,60
18254,106
30256,22749499748538
3600,-4
169654,495
202093,59326
94083,5368709130
184455,-142
162742,-1045558865185600768
172155,-263
55705,-260
192902,474642
207562,8197934152390211584
8968,3097
99069,288
208759,1616
9027,17897981
97196,149392078406045270016
104879,197760
225250,38
179708,73444170199803
124239,73
108606,0
50235,1723
63205,355
188739,1708417
184997,482131358751084
21603,1942
107618,-156879
114569,-155733226824459878400
176586,136
29706,-10
156218,84767
222294,2
201626,166771816995492000
192568,215
22209,131
25889,35
168496,-2295
22085,282
153190,4506592554153438
111430,1
142743,1046810092
103677,26834051426
65262,12476
158572,-1094
89427,-5596
109157,0
105581,120837480530941
144547,-68
180633,1211
97023,203131
43139,150040506656775040
108877,1357757640330
180647,71901283398
163948,662
183970,20938299
222570,77
2689,676709715603924096
93281,74662673300941888
20123,15188
215130,1064
15635,4
31371,1179
216700,19
152838,-2
158187,61420603204348
146615,199
215015,85
32385,174
115823,-8
69092,6681874
198446,71
137620,0
103196,-33
67419,2
79999,10124352523640
92847,-504
85100,37773
18861,9
20932,275
131939,184893
146419,3893
130200,9282960996274884
185978,8442
163807,1328
212388,6
8516,657444001
119741,5095745556
177651,213
121417,168
153619,71366238515473186816
20381,1155651724330186752
